Date and Time,Names
07/11/20_18:34:06,"['Anjelina', 'ellie_sattler']"
07/11/20_19:41:11,"['Anjelina', 'ellie_sattler']"
07/12/20_00:48:15,"['Anjelina', 'ellie_sattler']"
07/12/20_00:48:59,"['Anjelina', 'ellie_sattler']"
07/12/20_23:21:26,[]
07/12/20_23:22:42,"['Anjelina', 'ellie_sattler']"
07/12/20_23:23:21,"['ellie_sattler', 'Anjelina']"
09/24/20_14:22:49,[]
09/24/20_14:23:35,[]
09/24/20_14:24:35,[]
09/24/20_21:32:38,[]
09/24/20_23:48:53,[]
